,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
838,18-22,0-20%,20-40k,over 30%,1. Stock as a part of portfolio,Quite Long (1~3 year),3,"['ETF', 'Leverage']",20-40%,1,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Don't know,False,True,True,"['Franchise', 'Entertainment', 'Social Media', 'Telecommunication', 'Semiconductors', 'Airline', 'Energy & Resources', 'Cloud Computing', 'BlockChain']",low
839,23-30,21-40%,20-40k,5-10%,2. Only source of profit,Quite Long (1~3 year),8,"['ETF', 'Leverage', 'Fund']",40-80%,5,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Don't know,True,False,True,"['Franchise', 'BlockChain', 'Airline', 'Luxury goods', 'Social Media', 'Semiconductors', 'Energy & Resources', 'Cloud Computing', 'Traveling', 'Telecommunication', 'Entertainment']",medium
840,>65,21-40%,10-20k,10-20%,3. As a part of experience :),Quite Long (1~3 year),6,['ETF'],40-80%,9,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,Don't know,True,"['Energy & Resources', 'Retail', 'Entertainment', 'Traveling', 'Luxury goods', 'Semiconductors', 'Airline', 'BlockChain', 'Real Estate', 'Telecommunication', 'Cloud Computing']",medium
841,23-30,81-100%,>80k,0-5%,2. Only source of profit,Quite Long (1~3 year),7,"['Leverage', 'Individual Stocks']",40-80%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,True,Don't know,Don't know,['Franchise'],medium
842,31-45,61-80%,10-20k,0-5%,2. Only source of profit,Long (More than 3 years),10,"['Individual Stocks', 'Leverage', 'ETF']",20-40%,9,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,False,True,True,"['Semiconductors', 'Airline']",medium
843,31-45,21-40%,10-20k,0-5%,3. As a part of experience :),Long (More than 3 years),7,"['ETF', 'Fund', 'Leverage']",20-40%,7,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,Don't know,True,True,"['Real Estate', 'Social Media', 'Entertainment', 'Semiconductors', 'Cloud Computing', 'Airline', 'Luxury goods', 'Franchise', 'Telecommunication']",low
844,23-30,41-60%,10-20k,over 30%,3. As a part of experience :),Quite Long (1~3 year),1,['ETF'],10-20%,9,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Long term,True,False,True,['Semiconductors'],low
845,23-30,41-60%,0-10k,10-20%,2. Only source of profit,Regular (6month~1 year),7,['Leverage'],>80%,1,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Don't know,False,Don't know,True,"['Traveling', 'Social Media', 'Franchise']",medium
846,46-65,0-20%,>80k,5-10%,2. Only source of profit,Regular (6month~1 year),3,['Individual Stocks'],>80%,5,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,Don't know,Don't know,True,"['Retail', 'Real Estate', 'Social Media', 'Energy & Resources', 'BlockChain', 'Airline', 'Franchise']",medium
847,18-22,0-20%,0-10k,over 30%,1. Stock as a part of portfolio,Very short (1 month),8,['Leverage'],>80%,8,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,False,"['Luxury goods', 'Retail', 'Entertainment', 'Social Media']",medium
848,31-45,21-40%,10-20k,0-5%,1. Stock as a part of portfolio,Very short (1 month),6,"['ETF', 'Fund']",0-10%,8,1. Sell everything and give up,1. Sell everything and gain profit,Short term,Don't know,True,True,"['Social Media', 'Telecommunication', 'Real Estate']",medium
849,46-65,81-100%,20-40k,20-30%,3. As a part of experience :),Very short (1 month),4,"['ETF', 'Individual Stocks', 'Fund', 'Leverage']",>80%,8,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,True,Don't know,Don't know,"['Luxury goods', 'Energy & Resources', 'Franchise', 'Real Estate']",high
850,18-22,41-60%,20-40k,10-20%,3. As a part of experience :),Very short (1 month),2,"['Fund', 'Individual Stocks', 'Leverage', 'ETF']",>80%,5,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,Don't know,Don't know,Don't know,"['Traveling', 'Social Media', 'Airline', 'BlockChain', 'Luxury goods', 'Real Estate', 'Entertainment', 'Energy & Resources']",medium
851,31-45,0-20%,20-40k,0-5%,3. As a part of experience :),Regular (6month~1 year),1,"['Leverage', 'ETF', 'Fund']",>80%,1,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Long term,False,Don't know,False,"['BlockChain', 'Telecommunication', 'Energy & Resources', 'Luxury goods', 'Cloud Computing', 'Semiconductors', 'Airline', 'Social Media', 'Entertainment', 'Retail', 'Franchise', 'Real Estate']",low
852,18-22,0-20%,0-10k,20-30%,2. Only source of profit,Regular (6month~1 year),1,"['Fund', 'Leverage']",0-10%,6,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,True,Don't know,"['Energy & Resources', 'Social Media', 'Real Estate', 'Franchise']",medium
853,>65,61-80%,40-80k,20-30%,3. As a part of experience :),Long (More than 3 years),8,"['Fund', 'Individual Stocks', 'Leverage']",40-80%,4,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Don't know,False,True,True,"['Airline', 'Real Estate', 'Semiconductors']",medium
854,31-45,81-100%,>80k,20-30%,3. As a part of experience :),Quite Long (1~3 year),1,['Leverage'],20-40%,3,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,True,False,False,"['Real Estate', 'Airline', 'Semiconductors', 'Traveling', 'Franchise', 'Cloud Computing', 'Social Media', 'Entertainment']",medium
855,18-22,0-20%,>80k,10-20%,1. Stock as a part of portfolio,Quite Long (1~3 year),8,"['Individual Stocks', 'Leverage', 'ETF', 'Fund']",10-20%,6,1. Sell everything and give up,1. Sell everything and gain profit,Long term,True,True,False,"['Luxury goods', 'Social Media', 'Entertainment', 'Cloud Computing']",medium
856,>65,41-60%,10-20k,10-20%,3. As a part of experience :),Regular (6month~1 year),1,"['Leverage', 'ETF', 'Individual Stocks', 'Fund']",0-10%,3,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,True,True,['Energy & Resources'],medium
857,31-45,21-40%,10-20k,over 30%,3. As a part of experience :),Short Term (within 3 months),4,"['ETF', 'Individual Stocks', 'Leverage']",40-80%,5,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Don't know,Don't know,False,Don't know,"['Cloud Computing', 'Real Estate', 'Social Media', 'Franchise', 'Traveling', 'Airline', 'Semiconductors', 'Energy & Resources', 'BlockChain', 'Luxury goods', 'Retail']",medium
858,23-30,21-40%,20-40k,20-30%,2. Only source of profit,Regular (6month~1 year),1,['ETF'],10-20%,9,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Short term,False,False,True,"['Luxury goods', 'Retail', 'Entertainment', 'Semiconductors', 'BlockChain', 'Energy & Resources', 'Cloud Computing', 'Real Estate', 'Telecommunication', 'Traveling', 'Franchise']",low
859,>65,0-20%,>80k,over 30%,3. As a part of experience :),Long (More than 3 years),1,"['ETF', 'Fund', 'Individual Stocks']",10-20%,10,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,False,Don't know,"['Franchise', 'Real Estate', 'Semiconductors', 'Retail', 'Energy & Resources', 'Traveling', 'Cloud Computing', 'BlockChain', 'Airline', 'Telecommunication']",low
860,18-22,61-80%,0-10k,0-5%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Fund', 'Individual Stocks']",40-80%,7,1. Sell everything and give up,1. Sell everything and gain profit,Long term,Don't know,True,True,['Entertainment'],low
861,23-30,81-100%,20-40k,5-10%,1. Stock as a part of portfolio,Short Term (within 3 months),7,"['Leverage', 'ETF']",10-20%,3,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,True,True,Don't know,"['Traveling', 'Entertainment', 'Airline', 'Semiconductors', 'Real Estate', 'Telecommunication', 'Luxury goods', 'Energy & Resources', 'Franchise', 'Social Media']",medium
862,31-45,41-60%,0-10k,0-5%,1. Stock as a part of portfolio,Very short (1 month),2,['Leverage'],10-20%,9,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,False,False,True,"['Telecommunication', 'Cloud Computing', 'Franchise']",low
863,18-22,21-40%,>80k,5-10%,1. Stock as a part of portfolio,Quite Long (1~3 year),3,"['Leverage', 'Fund', 'ETF']",0-10%,2,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,Don't know,Don't know,"['Telecommunication', 'Social Media', 'Airline', 'Cloud Computing']",low
864,23-30,0-20%,10-20k,over 30%,1. Stock as a part of portfolio,Long (More than 3 years),10,"['Individual Stocks', 'Leverage', 'ETF']",20-40%,9,"3. Take out 50%, and wait before the rebound",1. Sell everything and gain profit,Short term,True,Don't know,Don't know,['Social Media'],high
865,31-45,61-80%,40-80k,20-30%,3. As a part of experience :),Quite Long (1~3 year),9,"['ETF', 'Leverage']",0-10%,2,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Long term,False,False,Don't know,"['Real Estate', 'Telecommunication', 'Semiconductors', 'Retail', 'Luxury goods', 'Franchise', 'BlockChain', 'Social Media', 'Cloud Computing', 'Airline', 'Energy & Resources', 'Traveling']",low
866,31-45,61-80%,0-10k,20-30%,2. Only source of profit,Regular (6month~1 year),6,"['Leverage', 'Individual Stocks', 'ETF']",10-20%,7,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,False,False,True,"['Traveling', 'Telecommunication', 'Franchise', 'Energy & Resources', 'Social Media', 'Semiconductors', 'BlockChain', 'Cloud Computing', 'Entertainment']",medium
867,18-22,81-100%,10-20k,10-20%,2. Only source of profit,Long (More than 3 years),2,['Fund'],0-10%,3,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,False,False,Don't know,"['Traveling', 'Social Media', 'Energy & Resources', 'Cloud Computing', 'Semiconductors', 'BlockChain', 'Airline', 'Luxury goods', 'Franchise']",low
868,23-30,21-40%,0-10k,0-5%,2. Only source of profit,Short Term (within 3 months),8,"['Fund', 'ETF', 'Individual Stocks']",20-40%,5,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Short term,False,False,Don't know,"['Franchise', 'Semiconductors', 'Traveling', 'Luxury goods', 'Retail', 'Telecommunication', 'Cloud Computing', 'Real Estate', 'Social Media', 'Entertainment', 'Energy & Resources', 'Airline', 'BlockChain']",medium
869,>65,21-40%,>80k,over 30%,3. As a part of experience :),Long (More than 3 years),10,['Fund'],40-80%,7,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Short term,Don't know,False,Don't know,"['BlockChain', 'Franchise', 'Energy & Resources', 'Luxury goods', 'Social Media', 'Cloud Computing']",medium
870,18-22,61-80%,40-80k,20-30%,1. Stock as a part of portfolio,Very short (1 month),8,"['ETF', 'Individual Stocks', 'Fund']",>80%,4,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,Don't know,True,False,"['Entertainment', 'Franchise', 'Social Media', 'Traveling', 'Retail', 'Semiconductors', 'Energy & Resources', 'Telecommunication']",high
871,>65,81-100%,20-40k,0-5%,3. As a part of experience :),Short Term (within 3 months),10,['Fund'],20-40%,1,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,Don't know,Don't know,"['Luxury goods', 'Airline']",medium
872,46-65,0-20%,0-10k,over 30%,1. Stock as a part of portfolio,Long (More than 3 years),9,"['Individual Stocks', 'Fund', 'Leverage', 'ETF']",40-80%,5,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Don't know,False,Don't know,True,"['BlockChain', 'Franchise', 'Telecommunication', 'Cloud Computing', 'Retail', 'Entertainment', 'Semiconductors', 'Airline', 'Real Estate']",medium
873,46-65,61-80%,10-20k,5-10%,1. Stock as a part of portfolio,Regular (6month~1 year),1,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",>80%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Short term,False,False,True,"['BlockChain', 'Real Estate', 'Luxury goods', 'Airline']",medium
874,46-65,41-60%,0-10k,over 30%,2. Only source of profit,Short Term (within 3 months),2,"['Individual Stocks', 'Fund']",20-40%,4,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,False,Don't know,Don't know,"['Franchise', 'Semiconductors', 'Social Media', 'Luxury goods', 'Cloud Computing', 'Airline', 'Entertainment', 'BlockChain', 'Real Estate', 'Telecommunication']",medium
875,18-22,21-40%,0-10k,over 30%,2. Only source of profit,Very short (1 month),4,"['ETF', 'Individual Stocks', 'Leverage']",20-40%,5,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,True,True,True,"['Energy & Resources', 'Franchise', 'Telecommunication', 'Semiconductors', 'Social Media', 'Cloud Computing', 'Traveling', 'Airline', 'BlockChain', 'Retail']",high
876,23-30,0-20%,0-10k,20-30%,2. Only source of profit,Long (More than 3 years),10,"['Individual Stocks', 'Leverage', 'ETF', 'Fund']",>80%,7,1. Sell everything and give up,5. Keep the portfolio as is,Short term,False,Don't know,True,"['Telecommunication', 'Real Estate', 'Franchise', 'Semiconductors', 'BlockChain']",high
877,46-65,21-40%,20-40k,10-20%,3. As a part of experience :),Very short (1 month),9,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",10-20%,6,1. Sell everything and give up,5. Keep the portfolio as is,Short term,True,True,False,"['Semiconductors', 'Telecommunication', 'Entertainment', 'Traveling']",high
878,46-65,0-20%,20-40k,10-20%,1. Stock as a part of portfolio,Long (More than 3 years),7,"['Leverage', 'Individual Stocks', 'ETF']",>80%,9,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Short term,Don't know,False,True,"['Telecommunication', 'BlockChain', 'Entertainment', 'Traveling', 'Cloud Computing', 'Luxury goods', 'Semiconductors', 'Energy & Resources', 'Franchise', 'Retail', 'Airline', 'Social Media', 'Real Estate']",medium
879,>65,0-20%,0-10k,over 30%,1. Stock as a part of portfolio,Regular (6month~1 year),7,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",>80%,8,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Long term,Don't know,True,Don't know,"['Energy & Resources', 'BlockChain', 'Retail', 'Real Estate', 'Airline', 'Luxury goods', 'Social Media', 'Telecommunication', 'Entertainment']",high
880,46-65,41-60%,>80k,over 30%,3. As a part of experience :),Short Term (within 3 months),8,"['Fund', 'ETF']",40-80%,9,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,Don't know,Don't know,True,"['Airline', 'Telecommunication', 'Retail', 'Entertainment', 'Semiconductors', 'Energy & Resources', 'Traveling', 'BlockChain', 'Social Media', 'Luxury goods', 'Franchise']",medium
881,23-30,21-40%,>80k,over 30%,3. As a part of experience :),Very short (1 month),3,['Fund'],0-10%,1,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,False,True,False,"['Real Estate', 'Airline', 'Franchise', 'Social Media', 'Cloud Computing', 'Telecommunication', 'BlockChain', 'Entertainment']",low
882,18-22,0-20%,0-10k,0-5%,3. As a part of experience :),Long (More than 3 years),1,"['ETF', 'Individual Stocks', 'Leverage', 'Fund']",40-80%,1,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,True,"['Entertainment', 'Airline', 'Telecommunication', 'Semiconductors', 'Franchise']",low
883,46-65,0-20%,>80k,0-5%,1. Stock as a part of portfolio,Quite Long (1~3 year),3,"['Leverage', 'Fund', 'Individual Stocks']",>80%,10,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Don't know,Don't know,True,True,"['Luxury goods', 'Airline', 'Cloud Computing', 'BlockChain', 'Telecommunication', 'Entertainment']",medium
884,>65,41-60%,>80k,over 30%,1. Stock as a part of portfolio,Short Term (within 3 months),3,"['Leverage', 'Individual Stocks', 'ETF', 'Fund']",>80%,5,2. Sell majority of stock and take some time before re-enter,"3. Take out 50%, and wait for further growth",Short term,False,False,Don't know,"['Telecommunication', 'Real Estate', 'BlockChain', 'Entertainment', 'Retail', 'Cloud Computing', 'Luxury goods', 'Franchise', 'Traveling', 'Energy & Resources', 'Airline', 'Semiconductors']",medium
885,23-30,81-100%,20-40k,over 30%,1. Stock as a part of portfolio,Short Term (within 3 months),4,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",40-80%,5,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Don't know,True,True,False,"['Social Media', 'Real Estate', 'BlockChain', 'Franchise', 'Airline', 'Energy & Resources', 'Cloud Computing', 'Luxury goods', 'Telecommunication', 'Retail']",high
886,>65,0-20%,20-40k,10-20%,3. As a part of experience :),Short Term (within 3 months),3,['Fund'],>80%,9,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Short term,True,Don't know,True,"['Social Media', 'Entertainment', 'Energy & Resources', 'Traveling', 'Real Estate', 'Airline', 'Telecommunication', 'Retail', 'Semiconductors', 'BlockChain', 'Luxury goods']",medium
887,23-30,21-40%,0-10k,over 30%,2. Only source of profit,Very short (1 month),9,"['ETF', 'Leverage', 'Individual Stocks']",20-40%,5,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Short term,True,True,False,"['Telecommunication', 'Traveling', 'Energy & Resources', 'Franchise']",high
888,31-45,0-20%,0-10k,20-30%,2. Only source of profit,Regular (6month~1 year),2,"['Fund', 'Leverage']",40-80%,8,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Don't know,Don't know,False,True,"['Semiconductors', 'Energy & Resources', 'Retail', 'Luxury goods', 'Franchise', 'Airline', 'Traveling', 'Social Media', 'Real Estate', 'Cloud Computing']",medium
889,18-22,0-20%,0-10k,0-5%,2. Only source of profit,Regular (6month~1 year),1,"['Individual Stocks', 'Leverage', 'Fund', 'ETF']",20-40%,3,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,Don't know,Don't know,True,"['Semiconductors', 'Entertainment', 'Telecommunication', 'BlockChain', 'Traveling', 'Retail', 'Luxury goods', 'Cloud Computing', 'Social Media', 'Airline', 'Energy & Resources', 'Real Estate']",medium
890,18-22,41-60%,>80k,10-20%,3. As a part of experience :),Long (More than 3 years),3,['Individual Stocks'],20-40%,2,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,False,False,Don't know,"['Traveling', 'Telecommunication', 'Retail', 'Luxury goods', 'BlockChain', 'Airline', 'Cloud Computing', 'Franchise', 'Social Media', 'Entertainment']",low
891,46-65,61-80%,0-10k,5-10%,2. Only source of profit,Quite Long (1~3 year),4,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",40-80%,6,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,False,Don't know,Don't know,"['Cloud Computing', 'Luxury goods', 'Franchise', 'Social Media', 'Entertainment']",high
892,31-45,21-40%,40-80k,0-5%,1. Stock as a part of portfolio,Very short (1 month),9,"['Leverage', 'Fund']",20-40%,7,5. Remain calm and keep the portfolio as is,"4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,Don't know,True,"['BlockChain', 'Traveling', 'Entertainment', 'Social Media', 'Franchise', 'Energy & Resources']",medium
893,>65,0-20%,0-10k,0-5%,3. As a part of experience :),Very short (1 month),10,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",>80%,2,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Don't know,True,True,False,"['Telecommunication', 'Cloud Computing', 'BlockChain', 'Retail', 'Franchise', 'Real Estate', 'Energy & Resources']",high
894,23-30,21-40%,0-10k,0-5%,1. Stock as a part of portfolio,Very short (1 month),2,"['Fund', 'ETF', 'Individual Stocks']",0-10%,3,5. Remain calm and keep the portfolio as is,1. Sell everything and gain profit,Short term,Don't know,False,True,"['Real Estate', 'Luxury goods', 'Energy & Resources', 'Telecommunication', 'Franchise', 'Cloud Computing', 'Traveling', 'Social Media', 'Semiconductors', 'Entertainment', 'BlockChain', 'Retail', 'Airline']",medium
895,46-65,81-100%,>80k,0-5%,1. Stock as a part of portfolio,Regular (6month~1 year),3,"['Leverage', 'Fund', 'ETF']",40-80%,4,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,Don't know,False,True,"['BlockChain', 'Semiconductors', 'Social Media', 'Cloud Computing', 'Luxury goods']",low
896,18-22,41-60%,40-80k,0-5%,2. Only source of profit,Regular (6month~1 year),9,"['Individual Stocks', 'ETF', 'Leverage']",40-80%,9,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Short term,True,Don't know,Don't know,"['Real Estate', 'Retail', 'BlockChain', 'Cloud Computing', 'Traveling', 'Semiconductors', 'Energy & Resources', 'Entertainment', 'Luxury goods']",high
897,31-45,61-80%,10-20k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),1,['ETF'],0-10%,10,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,False,False,True,"['Telecommunication', 'Social Media', 'Luxury goods', 'Franchise', 'BlockChain', 'Energy & Resources', 'Airline', 'Semiconductors', 'Traveling', 'Retail', 'Cloud Computing', 'Real Estate']",low
898,23-30,0-20%,40-80k,5-10%,3. As a part of experience :),Very short (1 month),9,"['Fund', 'Individual Stocks']",20-40%,10,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,False,Don't know,True,"['Semiconductors', 'Luxury goods', 'Energy & Resources', 'Airline', 'Retail']",medium
899,31-45,21-40%,20-40k,10-20%,2. Only source of profit,Short Term (within 3 months),6,"['ETF', 'Leverage', 'Fund']",10-20%,3,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,False,Don't know,True,"['Real Estate', 'Franchise', 'Semiconductors', 'Retail']",low
900,46-65,0-20%,>80k,0-5%,3. As a part of experience :),Quite Long (1~3 year),4,"['ETF', 'Leverage']",0-10%,5,"4. Volatility is inevitable, so only sell the weak assets","3. Take out 50%, and wait for further growth",Don't know,True,Don't know,False,"['Cloud Computing', 'Social Media', 'Retail', 'Airline', 'Traveling', 'Entertainment', 'Telecommunication', 'Franchise', 'Luxury goods', 'BlockChain', 'Energy & Resources']",medium
901,46-65,81-100%,>80k,0-5%,2. Only source of profit,Very short (1 month),9,"['Individual Stocks', 'ETF']",10-20%,3,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Short term,False,Don't know,Don't know,['Traveling'],medium
902,31-45,21-40%,0-10k,20-30%,1. Stock as a part of portfolio,Short Term (within 3 months),7,"['ETF', 'Leverage', 'Fund']",0-10%,3,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Short term,True,Don't know,False,"['Retail', 'Franchise', 'Energy & Resources', 'Cloud Computing', 'Luxury goods', 'Semiconductors', 'BlockChain', 'Real Estate', 'Telecommunication']",high
903,18-22,81-100%,>80k,20-30%,2. Only source of profit,Long (More than 3 years),3,"['ETF', 'Fund', 'Leverage', 'Individual Stocks']",20-40%,6,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Short term,Don't know,True,False,"['Energy & Resources', 'Social Media', 'Franchise', 'Telecommunication', 'BlockChain', 'Retail', 'Entertainment', 'Luxury goods']",high
904,>65,21-40%,>80k,0-5%,3. As a part of experience :),Quite Long (1~3 year),2,"['Leverage', 'Individual Stocks']",20-40%,9,"4. Volatility is inevitable, so only sell the weak assets","4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,True,True,"['Energy & Resources', 'Franchise', 'Telecommunication']",medium
905,18-22,81-100%,10-20k,0-5%,3. As a part of experience :),Short Term (within 3 months),6,['Leverage'],>80%,1,"4. Volatility is inevitable, so only sell the weak assets",5. Keep the portfolio as is,Short term,Don't know,Don't know,True,"['Luxury goods', 'Cloud Computing', 'Airline', 'BlockChain', 'Social Media', 'Semiconductors', 'Real Estate', 'Entertainment', 'Franchise', 'Energy & Resources']",medium
906,18-22,81-100%,10-20k,0-5%,2. Only source of profit,Quite Long (1~3 year),7,"['Fund', 'ETF', 'Leverage', 'Individual Stocks']",20-40%,8,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Don't know,Don't know,True,True,"['Social Media', 'Energy & Resources', 'Franchise', 'Luxury goods', 'Airline', 'Cloud Computing']",medium
907,23-30,41-60%,40-80k,0-5%,1. Stock as a part of portfolio,Regular (6month~1 year),5,['Fund'],10-20%,10,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,False,True,"['Entertainment', 'Real Estate', 'Retail', 'Energy & Resources', 'Telecommunication']",low
908,23-30,61-80%,20-40k,5-10%,1. Stock as a part of portfolio,Very short (1 month),9,"['Fund', 'Individual Stocks', 'ETF', 'Leverage']",10-20%,2,1. Sell everything and give up,1. Sell everything and gain profit,Long term,True,False,True,"['Traveling', 'Telecommunication', 'Cloud Computing', 'Semiconductors', 'BlockChain', 'Airline', 'Real Estate', 'Energy & Resources', 'Social Media', 'Luxury goods', 'Retail']",medium
909,23-30,0-20%,>80k,0-5%,3. As a part of experience :),Short Term (within 3 months),1,['Leverage'],20-40%,7,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,Don't know,Don't know,"['Traveling', 'Entertainment', 'Social Media', 'Cloud Computing', 'Real Estate', 'Energy & Resources', 'Semiconductors', 'BlockChain', 'Airline', 'Luxury goods', 'Retail']",low
910,46-65,41-60%,40-80k,20-30%,1. Stock as a part of portfolio,Long (More than 3 years),10,"['Leverage', 'Fund', 'Individual Stocks', 'ETF']",0-10%,2,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Short term,Don't know,True,False,"['Airline', 'Traveling', 'Retail', 'BlockChain', 'Cloud Computing', 'Semiconductors', 'Energy & Resources', 'Telecommunication', 'Entertainment', 'Real Estate', 'Luxury goods', 'Franchise']",medium
911,23-30,0-20%,>80k,10-20%,3. As a part of experience :),Regular (6month~1 year),7,"['ETF', 'Individual Stocks']",>80%,2,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,Don't know,True,"['Real Estate', 'BlockChain', 'Luxury goods', 'Traveling', 'Cloud Computing']",low
912,46-65,41-60%,40-80k,0-5%,3. As a part of experience :),Quite Long (1~3 year),9,"['Fund', 'Leverage', 'Individual Stocks']",20-40%,4,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Don't know,Don't know,True,False,"['Real Estate', 'BlockChain', 'Luxury goods', 'Franchise', 'Airline']",medium
913,46-65,0-20%,0-10k,0-5%,3. As a part of experience :),Quite Long (1~3 year),4,"['ETF', 'Individual Stocks', 'Fund']",20-40%,1,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,True,False,"['BlockChain', 'Real Estate']",medium
914,18-22,61-80%,40-80k,0-5%,3. As a part of experience :),Regular (6month~1 year),9,"['Leverage', 'Fund', 'ETF', 'Individual Stocks']",0-10%,5,5. Remain calm and keep the portfolio as is,2. Sell majority of stock and take some time before re-enter,Don't know,True,False,False,['Social Media'],medium
915,23-30,41-60%,>80k,over 30%,2. Only source of profit,Short Term (within 3 months),1,['Leverage'],10-20%,8,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,Don't know,True,False,"['Semiconductors', 'Retail', 'Luxury goods', 'Cloud Computing', 'Franchise', 'Real Estate']",medium
